user,software,device,network,action,resource,failed_logins,hour_of_day,is_night,session_freq,sensitivity_level,days_inactive,rischio
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,utenti,0,17,0,10,1,1,0
hacker,curl_7.68,missing_tpm,1.2.3.4,find,config_db,3,2,1,30,3,90,98
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,0,13,0,2,2,0,9
mario.rossi,custom_python_script,missing_tpm,8.8.8.8,delete,system_logs,5,1,1,50,2,365,100
mario.rossi,nmap,unknown,93.44.12.1,drop,pazienti,5,22,1,30,2,60,100
luigi.verdi,chrome_115,tpm_enclave_88,192.168.1.50,update,utenti,0,14,0,8,1,0,0
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,0,10,0,10,3,1,15
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,0,12,0,5,1,0,0
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,pazienti,0,18,0,4,2,0,7
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,pazienti,0,14,0,6,2,0,10
admin,curl_7.68,unknown,93.44.12.1,drop,pazienti,5,0,1,30,2,90,99
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,1,12,0,9,2,0,14
luigi.verdi,chrome_115,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,0,12,0,10,3,0,19
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,find,pazienti,0,10,0,6,2,3,13
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,update,utenti,0,14,0,8,1,0,5
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,utenti,0,14,0,8,1,2,0
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,0,11,0,2,2,0,10
hacker,custom_python_script,missing_tpm,8.8.8.8,find,config_db,7,0,1,15,3,90,94
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,2,13,0,7,2,1,28
admin,custom_python_script,missing_tpm,8.8.8.8,delete,pazienti,3,0,1,30,2,180,100
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,0,14,0,7,3,2,21
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,0,18,0,5,3,0,24
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,insert,pazienti,0,8,0,6,2,2,10
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,utenti,0,14,0,2,1,0,0
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,utenti,0,15,0,5,1,0,6
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,2,15,0,1,1,0,15
admin,custom_python_script,unknown,8.8.8.8,find,config_db,3,0,1,20,3,60,100
hacker,custom_python_script,unknown,93.44.12.1,drop,config_db,5,2,1,15,3,30,100
mario.rossi,nmap,unknown,8.8.8.8,find,system_logs,7,2,1,15,2,60,99
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,utenti,1,8,0,6,1,3,8
admin,custom_python_script,unknown,93.44.12.1,delete,config_db,3,1,1,30,3,60,100
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,pazienti,0,10,0,3,2,2,10
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,utenti,2,15,0,2,1,0,16
mario.rossi,chrome_115,tpm_enclave_88,192.168.1.50,update,cartelle_cliniche,0,9,0,5,3,0,23
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,update,utenti,0,9,0,1,1,0,0
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,0,11,0,8,1,0,0
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,update,cartelle_cliniche,0,13,0,1,3,1,17
mario.rossi,custom_python_script,unknown,8.8.8.8,delete,config_db,5,4,1,20,3,60,96
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,update,utenti,1,14,0,3,1,0,9
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,0,14,0,7,2,0,10
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,pazienti,0,12,0,10,2,5,11
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,insert,utenti,0,11,0,9,1,1,0
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,0,12,0,2,2,2,8
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,pazienti,0,9,0,5,2,1,10
anonymous,custom_python_script,missing_tpm,8.8.8.8,delete,config_db,7,1,1,20,3,30,100
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,0,11,0,4,1,5,0
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,0,12,0,7,3,0,15
anonymous,custom_python_script,unknown,8.8.8.8,find,pazienti,3,2,1,15,2,180,100
mario.rossi,chrome_115,tpm_enclave_88,192.168.1.50,insert,utenti,0,14,0,7,1,1,0
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,pazienti,0,9,0,3,2,1,7
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,1,8,0,1,3,0,30
luigi.verdi,chrome_115,tpm_enclave_88,192.168.1.50,insert,pazienti,0,11,0,9,2,1,13
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,0,11,0,1,3,0,19
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,0,16,0,7,3,0,14
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,1,16,0,2,3,3,29
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,utenti,0,13,0,1,1,7,0
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,1,13,0,9,1,0,9
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,pazienti,0,15,0,5,2,0,15
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,0,16,0,2,3,0,13
mario.rossi,curl_7.68,missing_tpm,1.2.3.4,drop,system_logs,7,1,1,50,2,60,97
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,pazienti,0,10,0,10,2,0,10
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,0,7,0,1,1,0,0
mario.rossi,curl_7.68,unknown,93.44.12.1,delete,config_db,5,2,1,50,3,365,100
anonymous,custom_python_script,missing_tpm,1.2.3.4,drop,pazienti,3,1,1,30,2,30,99
mario.rossi,chrome_115,tpm_enclave_88,192.168.1.50,insert,utenti,1,13,0,10,1,7,4
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,0,13,0,6,1,1,1
alice.medico,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,cartelle_cliniche,0,15,0,10,3,1,20
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,pazienti,0,13,0,4,2,3,8
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,0,11,0,4,2,0,13
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,0,15,0,3,3,2,20
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,0,14,0,7,1,0,0
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,update,cartelle_cliniche,0,11,0,6,3,1,18
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,0,8,0,8,3,3,19
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,0,7,0,5,3,3,21
mario.rossi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,insert,pazienti,0,7,0,2,2,3,6
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,0,11,0,3,2,1,17
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,0,11,0,7,2,0,15
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,insert,cartelle_cliniche,2,14,0,8,3,2,37
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,authenticate,cartelle_cliniche,0,13,0,10,3,1,18
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,pazienti,0,12,0,1,2,3,7
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,0,8,0,4,3,1,17
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,cartelle_cliniche,0,10,0,9,3,7,18
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,0,16,0,6,2,1,11
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,pazienti,0,8,0,10,2,1,10
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,0,9,0,2,3,3,22
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,0,12,0,4,3,0,21
anonymous,curl_7.68,missing_tpm,8.8.8.8,find,pazienti,3,0,1,20,2,365,98
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,0,9,0,1,2,0,7
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,update,utenti,0,8,0,10,1,1,0
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,authenticate,pazienti,1,13,0,9,2,2,22
anonymous,curl_7.68,missing_tpm,8.8.8.8,find,pazienti,5,2,1,15,2,60,99
anonymous,nmap,unknown,8.8.8.8,drop,system_logs,5,1,1,30,2,30,95
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,utenti,0,15,0,9,1,3,0
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,pazienti,0,14,0,3,2,0,6
admin,nmap,missing_tpm,93.44.12.1,delete,pazienti,3,5,1,30,2,30,100
luigi.verdi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,pazienti,0,10,0,6,2,0,10
anonymous,curl_7.68,unknown,1.2.3.4,drop,config_db,3,2,1,20,3,60,100
anonymous,nmap,unknown,93.44.12.1,find,system_logs,3,3,1,20,2,365,99
alice.medico,e7afb57c_cert,tpm_enclave_88,10.0.0.15,authenticate,utenti,0,15,0,8,1,2,0
luigi.verdi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,pazienti,0,10,0,9,2,1,11
mario.rossi,custom_python_script,unknown,93.44.12.1,delete,system_logs,7,2,1,30,2,180,100
anonymous,curl_7.68,unknown,1.2.3.4,find,system_logs,7,22,1,15,2,180,100
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,10.0.0.15,update,pazienti,0,12,0,7,2,0,8
luigi.verdi,chrome_115,tpm_enclave_88,192.168.1.50,update,utenti,1,13,0,4,1,1,4
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,utenti,0,14,0,2,1,2,2
luigi.verdi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,0,14,0,4,3,2,20
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,cartelle_cliniche,0,12,0,9,3,0,21
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,update,cartelle_cliniche,0,12,0,3,3,1,31
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,0,13,0,3,3,3,15
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,0,9,0,1,1,0,0
mario.rossi,custom_python_script,unknown,1.2.3.4,find,pazienti,3,3,1,30,2,180,100
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,0,17,0,7,3,0,22
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,find,utenti,0,13,0,7,1,5,0
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,1,13,0,3,3,0,23
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,insert,pazienti,0,17,0,8,2,5,10
admin,curl_7.68,unknown,93.44.12.1,delete,system_logs,5,0,1,15,2,90,95
mario.rossi,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,0,9,0,3,1,0,0
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,authenticate,utenti,0,9,0,5,1,1,0
mario.rossi,mozilla_firefox_112,tpm_enclave_88,192.168.1.50,insert,cartelle_cliniche,1,11,0,7,3,3,26
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,find,utenti,1,13,0,4,1,0,14
alice.medico,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,0,9,0,7,3,1,19
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,utenti,0,7,0,6,1,3,0
anonymous,custom_python_script,missing_tpm,8.8.8.8,find,pazienti,3,3,1,50,2,60,100
hacker,curl_7.68,missing_tpm,93.44.12.1,find,system_logs,7,4,1,30,2,30,97
