user,software,device,network,action,resource,rischio
luigi.verdi,chrome_115,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,28
mario.rossi,mozilla_firefox_112,tpm_enclave_88,10.0.0.15,update,pazienti,18
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,update,cartelle_cliniche,17
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,find,utenti,26
hacker,custom_python_script,unknown,93.44.12.1,drop,config_db,97
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,cartelle_cliniche,0
mario.rossi,curl_7.68,unknown,1.2.3.4,drop,system_logs,76
luigi.verdi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,pazienti,19
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,find,cartelle_cliniche,15
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,find,cartelle_cliniche,23
alice.medico,mozilla_firefox_112,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,utenti,24
alice.medico,chrome_115,1.3.6.1.4.1.311.21.9,192.168.1.50,update,cartelle_cliniche,26
luigi.verdi,e7afb57c_cert,tpm_enclave_88,10.0.0.15,update,utenti,8
anonymous,custom_python_script,missing_tpm,1.2.3.4,find,config_db,73
admin,nmap,unknown,1.2.3.4,find,pazienti,87
mario.rossi,curl_7.68,missing_tpm,1.2.3.4,drop,pazienti,83
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,update,cartelle_cliniche,12
alice.medico,chrome_115,tpm_enclave_88,192.168.1.50,authenticate,cartelle_cliniche,25
mario.rossi,chrome_115,tpm_enclave_88,10.0.0.15,insert,utenti,8
mario.rossi,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,authenticate,utenti,5
mario.rossi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,insert,utenti,17
alice.medico,e7afb57c_cert,1.3.6.1.4.1.311.21.9,192.168.1.50,insert,utenti,5
anonymous,curl_7.68,missing_tpm,8.8.8.8,find,pazienti,92
mario.rossi,chrome_115,1.3.6.1.4.1.311.21.9,10.0.0.15,insert,cartelle_cliniche,23
mario.rossi,curl_7.68,missing_tpm,1.2.3.4,delete,pazienti,80
anonymous,nmap,unknown,93.44.12.1,find,system_logs,86
luigi.verdi,e7afb57c_cert,tpm_enclave_88,192.168.1.50,authenticate,utenti,23
alice.medico,e7afb57c_cert,tpm_enclave_88,192.168.1.50,insert,cartelle_cliniche,29
alice.medico,chrome_115,tpm_enclave_88,10.0.0.15,find,cartelle_cliniche,15
